SUC DESTINO;SKU;# TRANSF;DESCRIPTION;FECHA;SHIP;SHIP.1
IÑAQUITO;118500705;1513238;DOVE SHAMPOO RESTAURACIÓN ANIMOACIDO 370ML+ACONDICIONADOR 370ML;31/3/2026;6;1,00
IÑAQUITO;27253;1513238;SABORA COMINO FUNDA 50 GR.;31/3/2026;12;0,08
IÑAQUITO;93771;1513238;LA DURA FUNDA DE BASURA GRANDE NEGRA 30X35 X 10UN.;31/3/2026;10;1,00
IÑAQUITO;184205202;1513238;SUAVITEL SUAVIZANTE FRESCURA DE MANZANA 2.3 LT.;31/3/2026;6;1,00
IÑAQUITO;172205846;1513238;RUFFLES PAPAS SABOR CREMA Y CEBOLLA 136G;31/3/2026;21;1,00
IÑAQUITO;57054;1513238;GUSTADINA PICA RICO SALSA DE AJI 200 ML.;31/3/2026;24;1,00
IÑAQUITO;99556;1513238;ORANGINE BEBIDA GASEOSA SABOR A MANZANA 3.785 LT.;31/3/2026;4;1,00
IÑAQUITO;197755078;1513238;LIMPOL LAVAVAJILLA LIMON DOY PACK 1LT;31/3/2026;12;1,00
IÑAQUITO;207355116;1513238;INKA CHIPS PAPAS SABOR JALAPEÑO 115GR;31/3/2026;12;1,00
IÑAQUITO;104340;1513238;CONDIMENSA CILANTRO 25 GR.;31/3/2026;25;1,00
IÑAQUITO;43604;1513238;MANI CRIS MANI SALADITO 100 GR.;31/3/2026;12;1,00
IÑAQUITO;174854356;1513238;TIPS BAMBÚ DIFUSOR ESENCIA ROSE GOLD 20 ML;31/3/2026;15;1,00
IÑAQUITO;200154928;1513238;COLGATE CEPILLO DENTAL TOTAL ESPUMOSO SUAVE X2;31/3/2026;24;2,00
IÑAQUITO;205205245;1513238;CIELO AGUA SIN GAS 400ML;31/3/2026;24;1,00
IÑAQUITO;193807820;1513238;VOLT BEBIDA ENERGIZANTES PINK 400 ML;31/3/2026;6;1,00
IÑAQUITO;144903081;1513238;COLGATE CREMA DENTAL NATURALS CARBON 90 GR.;31/3/2026;12;0,25
IÑAQUITO;166203035;1513238;DEJA DETERGENTE LIQUIDO DILUIR FLORAL 500ML;31/3/2026;6;1,00
IÑAQUITO;177904890;1513238;VANISH QUITA MANCHAS GOLD BLANCO DOYPACK 120 GR;31/3/2026;24;1,00
IÑAQUITO;83213;1513238;NOSOTRAS PROTECTORES DIARIOS X 15 UN.;31/3/2026;36;1,00
IÑAQUITO;43372;1513238;SPEED STICK DESODORANTE ROLL-ON 24/7 AP COOL NIGHT 50;31/3/2026;12;1,00
IÑAQUITO;28966;1513238;POLWAX CERA PLUS ROJA 1 LT.;31/3/2026;12;1,00
IÑAQUITO;124701626;1513238;SYLVANIA TOLEDO LED A60 9W 6500K BLX4;31/3/2026;10;1,00
IÑAQUITO;180057003;1513238;PAÑALIN TOALLAS HÚMEDAS MANZANILLA Y GLICERINA FLOW PACK X5O;31/3/2026;24;2,00
IÑAQUITO;28758;1513238;GATO NEGRO VINO CABERNET SAUVIGNON 750 ML.;31/3/2026;12;1,00
IÑAQUITO;28056;1513238;COLGATE CREMA DENTAL TRIPLE ACCION 75 ML.;31/3/2026;72;1,00
IÑAQUITO;31165;1513238;LA ESPAÑOLA ACEITE DE OLIVA EXTRA VIRGEN BOTELLA 250 ML;31/3/2026;12;1,00
IÑAQUITO;132801993;1513238;ETINCELLE COLORACIÓN 3 CASTAÑO OSCURO 2 TUB X 50G;31/3/2026;6;1,00
IÑAQUITO;28889;1513238;PRODELSOL TRAPEADOR INDUSTRIAL DE 40CM X 12 UN.;31/3/2026;12;1,00
IÑAQUITO;164502963;1513238;MICROLIMPIA RESTREGONA PARA PISO UN.;31/3/2026;6;1,00
IÑAQUITO;160003032;1513238;EL MACHO BARRA DETERGENTE AZUL  480 Gr;31/3/2026;24;1,00
IÑAQUITO;109445;1513238;VANISH QUITA MANCHAS BLANCO DOY PACK SIN CLORO 450 ML.;31/3/2026;24;1,00
IÑAQUITO;28972;1513238;ESTRELLA CERA AMARILLA COJIN 720 ML.;31/3/2026;24;1,00
IÑAQUITO;29418;1513238;CONDIMENSA ALIÑO PREPARADO FUNDA 200 GR.;31/3/2026;25;1,00
IÑAQUITO;154403030;1513238;PACA FIDEO CODO 400GR;31/3/2026;24;1,00
IÑAQUITO;181355310;1513238;CREMA DERM TOALLITAS HUMEDAS TRI-FLOWPACK;31/3/2026;6;1,00
IÑAQUITO;182555006;1513238;KALIPTO DESINFECTANTE LAVANDA FLORAL 3.8L;31/3/2026;8;2,00
IÑAQUITO;171152990;1513238;AXION LAVAVAJILLAS LIQUIDO 1.5 LT;31/3/2026;8;1,00
IÑAQUITO;77549;1513238;COLGATE CREMA DENTAL TRIPLE ACCION 50 ML.;31/3/2026;12;0,08
IÑAQUITO;193305045;1513238;SELLO AZUL DESTAPA CAÑERÍAS 425 GR.;31/3/2026;16;1,00
IÑAQUITO;30507;1513238;ISABEL ATUN EN ACEITE 900 GR;31/3/2026;12;1,00
IÑAQUITO;115850890;1513238;ILE CURCUMA EN POLVO 50G.;31/3/2026;12;0,08
IÑAQUITO;71029;1513238;ESTRELLA ESPONJA MIXTA DUO;31/3/2026;30;1,00
IÑAQUITO;162552967;1513238;CICLON DETERGENTE CON SUAVIZANTE 2KG.;31/3/2026;6;1,00
IÑAQUITO;201405320;1513238;SECRET DESODORANTE GEL INVISIBLE PWD PROT COTTON 73G;31/3/2026;12;1,00
IÑAQUITO;97715;1513238;CONDIMENSA LINASA DE 100 GR.;31/3/2026;25;1,00
IÑAQUITO;50099;1513238;ACT II CANGUIL SABOR MATEQUILLA EXTRA 80 GR.;31/3/2026;16;1,00
IÑAQUITO;102952;1513238;ELITE PAPEL HIGIENICO SOFT&STRONG PREMUM GRANDE 20M X12/4;31/3/2026;12;3,00
IÑAQUITO;27901;1513238;BANCHIS CHIFLES FAMILIAR NATURAL 150 GR.;31/3/2026;24;1,00
IÑAQUITO;77501;1513238;SCOTT TOALLA DE COCINA DURAMAX 2 EN 1 UN.;31/3/2026;12;1,00
IÑAQUITO;142903133;1513238;LIDEX  ALCOHOL ANTISEPTICO AL 70%-  (3785 ML) GALON;31/3/2026;6;1,00
IÑAQUITO;53744;1513238;AJAX DESINFECTANTE BICARBON NARANJA LIMON 2 LT;31/3/2026;6;1,00
IÑAQUITO;96124;1513238;NOSOTRAS TOALLAS BUENAS NOCHES INVISIBLE X10 UN.;31/3/2026;12;1,00
IÑAQUITO;101529;1513238;CLICK MULTICOLORES PLASTIFICACLIK 3 UN.;31/3/2026;72;1,00
IÑAQUITO;70805;1513238;LAVA CREMA LAVAVAJILLA AVENA 450 GR.;31/3/2026;18;1,00
IÑAQUITO;150953018;1513238;CICLON EXTRA POWER FLORAL 2 KG;31/3/2026;12;2,00
IÑAQUITO;152102962;1513238;HERBAL ESSENCES SHAMPOO BIO RENEW CHAMOMILE 400 ML;31/3/2026;6;1,00
IÑAQUITO;31187;1513238;CRIS-SAL SAL DE MESA 2 KG.;31/3/2026;50;2,00
IÑAQUITO;34725;1513238;LOS ANDES PURÉ DE TOMATE DOYPACK 100 GR;31/3/2026;48;1,00
IÑAQUITO;178404811;1513238;SUAVITEL PACK PRIMAVERA 2.8LT+GRATIS 1 LT.;31/3/2026;8;2,00
IÑAQUITO;151154031;1513238;SUAVIZANTE PERLA COCO Y AGUA DE ROSAS DOYPACK 1300 ML;31/3/2026;10;1,00
IÑAQUITO;201304916;1513238;IMPERIAL AGUA MINERAL LIMON 330ML;31/3/2026;12;1,00
IÑAQUITO;133751271;1513238;FABULOSO DESINFECTANTE LAVANDA 3 LT;31/3/2026;8;2,00
IÑAQUITO;169302995;1513238;LAVA CREMA LAVAVAJILLA AVENA 900 G;31/3/2026;12;1,00
