SKU,UBICACIÓN,PASILLO,DESCRIPTION,PROVEEDOR,UXB,PLANCHA,ALTO POR PALLET,ZONA,SYS_CODE,ITEM_CLASS,LON,ANC,ALT,PESO,L_PASILLO,L_BAHIA,L_NIVEL,L_POSICION,L_PASILLO_NUM,L_BAHIA_NUM,L_NIVEL_NUM,COORD_X,COORD_Y,COORD_Z
101739,18020104,18,JIMADOR AZTECA TEQUILA BLANCO 750 ML.,GUEVARA VASCO CIA. LTDA. - GENERAL,12,10,3,VARIOS,LTC,NO PERECEDEROS BULK,40.0,24.0,26.0,19.15,18,2,1,4,18,2,1,72.8,1.2,1.5
101738,18390106,18,JIMADOR AZTECA TEQUILA ORO 750 ML.,GUEVARA VASCO CIA. LTDA. - GENERAL,12,10,3,VARIOS,LTC,NO PERECEDEROS BULK,40.0,24.0,26.0,19.15,18,39,1,6,18,39,1,71.2,24.0,1.5
102500073,18240105,18,CARTAVIO RON BLACK  750 ml.,GRAFANDINA SA - GENERAL,12,14,5,VARIOS,LTC,NO PERECEDEROS BULK,32.0,23.0,31.0,9.2,18,24,1,5,18,24,1,72.8,14.399999999999999,1.5
103136,18460101,18,ZHUMIR PIÑA COLADA 700 ML.,AZENDE LOGISTIC AZENDELOG CIA - GENERAL,12,10,4,VARIOS,LTC,PERECEDEROS BULK,30.0,22.0,31.0,13.915,18,46,1,1,18,46,1,72.8,27.599999999999998,1.5
105746,18640101,18,BLACK OWL WHISKY  750 ML.,COLEMUN S.A. - GENERAL,12,10,3,VARIOS,LTC,PERECEDEROS BULK,38.0,24.0,24.0,16.38,18,64,1,1,18,64,1,72.8,38.4,1.5
105754,18160105,18,ALTO PALERMO VINO TINTO MALBEC 750 ML.,COLEMUN S.A. - GENERAL,12,11,3,VARIOS,LTC,PERECEDEROS BULK,32.0,26.0,34.0,17.5,18,16,1,5,18,16,1,72.8,9.6,1.5
107851171,18240106,18,OLD TIMES WHISKY RED 375 ML.,GRAFANDINA SA - GENERAL,24,14,5,VARIOS,LTC,NO PERECEDEROS BULK,37.0,26.0,25.0,14.8,18,24,1,6,18,24,1,72.8,14.399999999999999,1.5
109991,18260102,18,ZHUMIR LICOR SECO EXTRA SUAVE 700 ML.,AZENDE LOGISTIC AZENDELOG CIA - GENERAL,12,14,4,VARIOS,LTC,NO PERECEDEROS BULK,30.0,22.0,31.0,13.915,18,26,1,2,18,26,1,72.8,15.6,1.5
111523,18460105,18,ANTIOQUEÑO AGUA ARDIENTE ROJO 750 ML,VINOS Y ESPIRITUOSOS VINESA S.A . - GENERAL,20,7,8,VARIOS,LTC,NO PERECEDEROS BULK,49.0,33.0,22.0,22.4,18,46,1,5,18,46,1,72.8,27.599999999999998,1.5
112382,18600102,18,EXPORTACION CONCHA Y TORO VINO TINTO CANBERNET SAUVIGNON  BOTELLA 750ML,VINOS Y ESPIRITUOSOS VINESA S.A . - GENERAL,6,30,3,VARIOS,LTC,NO PERECEDEROS BULK,24.0,16.0,30.0,6.98,18,60,1,2,18,60,1,72.8,36.0,1.5
111350100,18380104,18,CUNINGHAM WHISKY SCOTCH 375 ML,AZENDE LOGISTIC AZENDELOG CIA - GENERAL,12,18,5,VARIOS,LTC,NO PERECEDEROS BULK,28.0,19.0,22.0,7.26,18,38,1,4,18,38,1,72.8,22.8,1.5
112381,18470104,18,EXPORTACION CONCHA Y TORO VINO  BLANCO BOTELLA SAUVIGNON BLANC 750 ML.,VINOS Y ESPIRITUOSOS VINESA S.A . - GENERAL,6,30,3,VARIOS,LTC,NO PERECEDEROS BULK,23.0,16.0,30.0,7.0,18,47,1,4,18,47,1,71.2,28.799999999999997,1.5
112311,18040101,18,PAISA PACK AGUARDIENTE S/AZUCAR 750 ML,DISTRIBUIDORA LATINA S. A. - GENERAL,12,12,3,VARIOS,LTC,NO PERECEDEROS BULK,36.0,26.0,31.0,15.9,18,4,1,1,18,4,1,72.8,2.4,1.5
